Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1019.0,49.0,5.0,406.0,82.0,0.0,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1140.0,36.0,5.0,397.0,104.0,0.0,0.1
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
914.0,26.0,5.0,422.0,89.0,0.0,0.2
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
962.0,35.0,5.0,400.0,102.0,0.0,0.3
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
974.0,35.0,5.0,403.0,99.0,0.0,0.4
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1049.0,33.0,5.0,414.0,90.0,0.0,0.5
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
965.0,31.0,5.0,402.0,104.0,0.0,0.6
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1041.0,60.0,5.0,402.0,75.0,0.0,0.7
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
924.0,39.0,5.0,401.0,97.0,0.0,0.8
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
843.0,45.0,5.0,404.0,88.0,0.0,0.9
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
863.0,31.0,5.0,419.0,87.0,0.0,1.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
942.0,37.0,5.0,400.0,100.0,0.1,0.0
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
872.0,40.0,5.0,415.0,82.0,0.1,0.1
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
1032.0,27.0,5.0,411.0,99.0,0.1,0.2
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
982.0,36.0,5.0,392.0,109.0,0.1,0.3
Iterations,Susceptible,Infected,Recovered,Dead,Radius factor,Speed factor
